hour,actual_next_hour_avg_fee,predicted_next_hour_avg_fee,error,absolute_error,model_name
2026-04-27T02:00:00Z,2554572.971,2266706.341671092,287866.62932890793,287866.62932890793,ridge_alpha_10
2026-04-27T03:00:00Z,2965601.657,2321145.4437418906,644456.2132581095,644456.2132581095,ridge_alpha_10
2026-04-27T04:00:00Z,2484018.601,2568585.8619086393,-84567.26090863952,84567.26090863952,ridge_alpha_10
2026-04-27T05:00:00Z,3092694.665,2416503.097506253,676191.567493747,676191.567493747,ridge_alpha_10
2026-04-27T06:00:00Z,2478967.855,2610433.9254999827,-131466.07049998268,131466.07049998268,ridge_alpha_10
2026-04-27T07:00:00Z,1987653.072,2535300.185889721,-547647.113889721,547647.113889721,ridge_alpha_10
2026-04-27T08:00:00Z,2146318.653,2333310.89123993,-186992.23823993,186992.23823993,ridge_alpha_10
2026-04-27T09:00:00Z,2329517.122,2157976.28384324,171540.8381567602,171540.8381567602,ridge_alpha_10
2026-04-27T10:00:00Z,2230400.506,2160868.3779018666,69532.12809813349,69532.12809813349,ridge_alpha_10
2026-04-27T11:00:00Z,1907413.962,2126447.060476924,-219033.09847692377,219033.09847692377,ridge_alpha_10
2026-04-27T12:00:00Z,2823877.136,2032926.7370962203,790950.3989037797,790950.3989037797,ridge_alpha_10
2026-04-27T13:00:00Z,2584066.906,2280092.4196828157,303974.4863171843,303974.4863171843,ridge_alpha_10
2026-04-27T14:00:00Z,1679378.142,2279208.6647055554,-599830.5227055554,599830.5227055554,ridge_alpha_10
2026-04-27T15:00:00Z,2261407.902,2079659.4361766893,181748.46582331043,181748.46582331043,ridge_alpha_10
2026-04-27T16:00:00Z,2114578.062,2119620.3350627287,-5042.273062728811,5042.273062728811,ridge_alpha_10
2026-04-27T17:00:00Z,2331091.373,2116237.197751894,214854.175248106,214854.175248106,ridge_alpha_10
2026-04-27T18:00:00Z,2063849.337,2164180.0411408367,-100330.7041408366,100330.7041408366,ridge_alpha_10
2026-04-27T19:00:00Z,2405845.892,2019066.9794946264,386778.9125053736,386778.9125053736,ridge_alpha_10
2026-04-27T20:00:00Z,2146487.781,2153322.0313757495,-6834.250375749543,6834.250375749543,ridge_alpha_10
2026-04-27T21:00:00Z,2413288.92,2182604.4215737865,230684.4984262134,230684.4984262134,ridge_alpha_10
2026-04-27T22:00:00Z,2890982.903,2220229.765294315,670753.1377056851,670753.1377056851,ridge_alpha_10
2026-04-27T23:00:00Z,2487174.284,2345181.393915482,141992.89008451812,141992.89008451812,ridge_alpha_10
2026-04-28T00:00:00Z,2582913.126,2363858.3935021404,219054.73249785975,219054.73249785975,ridge_alpha_10
2026-04-28T01:00:00Z,2499145.126,2256330.2330769636,242814.8929230366,242814.8929230366,ridge_alpha_10
2026-04-28T02:00:00Z,2615954.882,2337780.9406729946,278173.9413270056,278173.9413270056,ridge_alpha_10
2026-04-28T03:00:00Z,2510782.394,2369660.3942966256,141121.99970337423,141121.99970337423,ridge_alpha_10
