hour,actual_next_hour_avg_fee,predicted_next_hour_avg_fee,error,absolute_error,model_name
2026-05-18T14:00:00Z,447745.6079341633,502943.9996889126,-55198.39175474929,55198.39175474929,rolling_mean_6h
2026-05-18T15:00:00Z,441282.6407418793,502666.65800661634,-61384.01726473705,61384.01726473705,rolling_mean_6h
2026-05-18T16:00:00Z,450152.9554956796,499190.0924008529,-49037.136905173305,49037.136905173305,rolling_mean_6h
2026-05-18T17:00:00Z,493272.6478,496454.5456180876,-3181.8978180876,3181.8978180876,rolling_mean_6h
2026-05-18T18:00:00Z,432977.70910698496,496350.37139528705,-63372.66228830209,63372.66228830209,rolling_mean_6h
2026-05-18T19:00:00Z,393377.6467871751,488119.28077978455,-94741.63399260945,94741.63399260945,rolling_mean_6h
2026-05-18T20:00:00Z,505635.3384395885,443134.86797764694,62500.47046194156,62500.47046194156,rolling_mean_6h
2026-05-18T21:00:00Z,476279.1146067416,452783.15639521787,23495.958211523714,23495.958211523714,rolling_mean_6h
2026-05-18T22:00:00Z,432209.83073663217,458615.90203936165,-26406.071302729484,26406.071302729484,rolling_mean_6h
2026-05-18T23:00:00Z,448186.27319813886,455625.381246187,-7439.108048048161,7439.108048048161,rolling_mean_6h
2026-05-19T00:00:00Z,512248.6433859342,448110.9854792102,64137.657906723965,64137.657906723965,rolling_mean_6h
2026-05-19T01:00:00Z,482659.57133798354,461322.80785903503,21336.763478948502,21336.763478948502,rolling_mean_6h
2026-05-19T02:00:00Z,484674.27080369845,476203.12861750316,8471.142186195299,8471.142186195299,rolling_mean_6h
2026-05-19T03:00:00Z,468478.4315374787,472709.6173448548,-4231.1858073761105,4231.1858073761105,rolling_mean_6h
2026-05-19T04:00:00Z,454301.4598609656,471409.5034999776,-17108.043639011972,17108.043639011972,rolling_mean_6h
2026-05-19T05:00:00Z,439535.03214080737,475091.4416873665,-35556.40954655915,35556.40954655915,rolling_mean_6h
2026-05-19T06:00:00Z,477715.24902659265,473649.5681778113,4065.6808487813687,4065.6808487813687,rolling_mean_6h
2026-05-19T07:00:00Z,416952.4430634867,467894.00245125446,-50941.559387767746,50941.559387767746,rolling_mean_6h
2026-05-19T08:00:00Z,670196.3155,456942.8144055049,213253.50109449512,213253.50109449512,rolling_mean_6h
2026-05-19T09:00:00Z,478005.30625999544,487863.1551882218,-9857.848928226333,9857.848928226333,rolling_mean_6h
2026-05-19T10:00:00Z,592740.7482913494,489450.9676419746,103289.78064937476,103289.78064937476,rolling_mean_6h
2026-05-19T11:00:00Z,569657.6539482112,512524.18238037196,57133.47156783927,57133.47156783927,rolling_mean_6h
