forecast_generated_at,forecast_hour,horizon_hours,predicted_avg_total_fee,predicted_avg_total_fee_ton,model_name,model_trained_at_utc,last_observed_hour,last_observed_fee
2026-05-31T07:40:46Z,2026-05-31T06:00:00Z,1,492537.6385330197,0.000492537638533,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T07:00:00Z,2,493875.716860184,0.0004938757168601,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T08:00:00Z,3,495425.536969298,0.0004954255369692,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T09:00:00Z,4,495722.6248983662,0.0004957226248983,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T10:00:00Z,5,479608.8220713498,0.0004796088220713,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T11:00:00Z,6,482480.67059045733,0.0004824806705904,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T12:00:00Z,7,489941.83498711255,0.0004899418349871,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T13:00:00Z,8,489509.2010627946,0.0004895092010627,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T14:00:00Z,9,488781.4484298965,0.0004887814484298,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T15:00:00Z,10,487674.10033999616,0.0004876741003399,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T16:00:00Z,11,486332.67958026775,0.0004863326795802,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T17:00:00Z,12,487453.3224984207,0.0004874533224984,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T18:00:00Z,13,488282.0978164147,0.0004882820978164,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T19:00:00Z,14,488005.4749546317,0.0004880054749546,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T20:00:00Z,15,487754.85393660463,0.0004877548539366,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T21:00:00Z,16,487583.7548543893,0.0004875837548543,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T22:00:00Z,17,487568.6972734548,0.0004875686972734,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-05-31T23:00:00Z,18,487774.7002223193,0.0004877747002223,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-06-01T00:00:00Z,19,487828.2631763024,0.0004878282631763,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-06-01T01:00:00Z,20,487752.6240696171,0.0004877526240696,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-06-01T02:00:00Z,21,487710.48225544795,0.0004877104822554,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-06-01T03:00:00Z,22,487703.0869752551,0.0004877030869752,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-06-01T04:00:00Z,23,487722.97566206614,0.000487722975662,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
2026-05-31T07:40:46Z,2026-06-01T05:00:00Z,24,487748.68872683466,0.0004877486887268,rolling_mean_6h,2026-05-27T04:38:12.536773+00:00,2026-05-31T05:00:00Z,437713.6842105263
