hour,tx_count,unique_accounts,avg_total_fee,median_total_fee,p90_total_fee,min_total_fee,max_total_fee,std_total_fee,avg_gas_used,median_gas_used,avg_compute_fee,avg_storage_fee,avg_action_fee,avg_forward_fee,avg_import_fee,avg_vm_steps,avg_msgs_created,avg_out_msg_count,avg_msg_size_bits,avg_msg_size_cells,failed_tx_ratio,compute_success_ratio,action_success_ratio,avg_transaction_value,total_transaction_value,hour_of_day,day_of_week,is_weekend,fee_lag_1h,fee_lag_3h,fee_lag_6h,fee_lag_12h,fee_lag_24h,rolling_avg_fee_3h,rolling_avg_fee_6h,rolling_avg_fee_12h,rolling_avg_fee_24h,rolling_std_fee_6h,rolling_std_fee_24h,fee_change_1h,fee_change_3h,fee_change_6h,fee_change_12h,fee_change_24h,tx_count_change_1h,tx_count_change_3h,tx_count_change_6h,tx_count_change_24h,gas_used_change_1h,gas_used_change_3h,gas_used_change_6h,gas_used_change_24h,p90_fee_change_1h,p90_fee_change_3h,p90_fee_change_6h,p90_fee_change_24h,same_hour_prev_day_fee,hour_sin,hour_cos,day_sin,day_cos,target_next_hour_avg_fee
2026-03-29T06:00:00Z,5000,1979,2693730.9528,1802600.5,6229863.8,0,51623872,3744482.003257603,4868.8206,2901.0,1948151.28,43054.9606,335961.3344,1644047.0478,400.0,118.3796,0.7312,0.735,1953.9418,4.0294,0.0842,0.9883444852147637,1.0,54775729114.7268,273878645573634,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2529295.0678
2026-03-29T07:00:00Z,5000,2050,2529295.0678,1218658.0,5894149.2,0,42307810,3241616.213058531,4485.3084,1756.0,1794581.92,45871.5528,309754.3,1532710.725,0.0,106.4646,0.717,0.722,1809.7654,3.8324,0.0808,0.9952360329146817,1.0,54002611822.136,270013059110680,7,6,1,2693730.9528,,,,,2693730.9528,2693730.9528,2693730.9528,2693730.9528,,,-164435.88500000024,,,,,0.0,,,,-383.5122000000001,,,,-335714.5999999996,,,,,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,2470101.6906
2026-03-29T08:00:00Z,5000,2215,2470101.6906,824265.0,5606531.0,0,84821895,4497260.193803943,4151.3356,1000.0,1661140.16,42553.299,389546.4,1908130.6484,200.0,98.3702,0.7308,0.7344,2283.4986,4.7638,0.0874,0.9926038720904938,1.0,34050673769.9018,170253368849509,8,6,1,2529295.0678,,,,,2611513.0103,2611513.0103,2611513.0103,2611513.0103,116273.72935391162,116273.72935391162,-59193.37719999999,,,,,0.0,,,,-333.97279999999955,,,,-287618.2000000002,,,,,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,2378594.3864
2026-03-29T09:00:00Z,5000,2255,2378594.3864,805217.0,5391069.1,0,72530379,3739921.3863823987,3947.4936,1000.0,1579684.32,68444.2152,341928.6858,1689525.5888,0.0,95.7154,0.7172,0.7206,2029.741,3.9764,0.089,0.9941073766914011,1.0,19307703074.1804,96538515370902,9,6,1,2470101.6906,2693730.9528,,,,2564375.903733333,2564375.903733333,2564375.903733333,2564375.903733333,115868.50527803169,115868.50527803169,-91507.30419999966,-315136.5663999999,,,,0.0,0.0,,,-203.84200000000055,-921.3270000000002,,,-215461.90000000037,-838794.7000000002,,,,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,2087691.0792
2026-03-29T10:00:00Z,5000,2189,2087691.0792,784261.0,5044409.2,0,64042695,3272101.9518795493,3563.1118,1000.0,1425896.24,33304.0228,272331.207,1343705.9836,0.0,84.8906,0.7226,0.73,1600.6652,3.0678,0.142,0.9884819166090762,0.9997669540899558,46617217031.062,233086085155310,10,6,1,2378594.3864,2529295.0678,,,,2459330.3816,2517930.5244,2517930.5244,2517930.5244,132585.94717859718,132585.94717859718,-290903.30720000016,-441603.9885999998,,,,0.0,0.0,,,-384.38179999999966,-922.1965999999998,,,-346659.89999999944,-849740.0,,,,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2418772.5536
2026-03-29T11:00:00Z,5000,2378,2418772.5536,801060.5,5393120.5,0,435908244,7985116.959659744,3980.3288,1000.0,1592818.24,36215.1558,375614.551,1857311.9622,0.0,98.3638,0.7782,0.7808,2175.9056,5.06,0.0944,0.9826426556736819,0.9997792007065578,40548734779.634,202743673898170,11,6,1,2087691.0792,2470101.6906,,,,2312129.0520666665,2431882.6353599997,2431882.6353599997,2431882.6353599997,224065.77401097014,224065.77401097014,331081.4744000002,-51329.13699999964,,,,0.0,0.0,,,417.21699999999964,-171.00680000000057,,,348711.2999999998,-213410.5,,,,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,2374161.5526
2026-03-29T12:00:00Z,5000,2389,2374161.5526,812528.5,5610798.0,0,66600978,3452991.7904635374,4058.0006,1000.0,1623725.52,58004.8954,318081.518,1570915.7428,0.0,96.9224,0.7258,0.729,1878.5502,3.6964,0.099,0.990763140532219,1.0,22787605551.4832,113938027757416,12,6,1,2418772.5536,2378594.3864,2693730.9528,,,2295019.339733334,2429697.6217333334,2429697.6217333334,2429697.6217333334,200481.97568310332,200481.97568310332,-44611.001000000164,-4432.833800000139,-319569.40020000003,,,0.0,0.0,0.0,,77.67180000000008,110.50700000000006,-810.8200000000002,,217677.5,219728.90000000037,-619065.7999999998,,,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,2528462.9674
2026-03-29T13:00:00Z,5000,2320,2528462.9674,967494.0,5883756.700000001,0,88941256,3971028.1875313586,4436.8098,1756.0,1775334.64,48601.6568,310805.8088,1507452.4494,0.0,108.3144,0.7416,0.7494,1803.4284,3.4564,0.0912,0.9829115293099718,1.0,39850719638.9716,199253598194858,13,6,1,2374161.5526,2087691.0792,2529295.0678,,,2293541.728466667,2376436.055033333,2421763.8975714287,2421763.8975714287,153176.36959113064,184213.98788286236,154301.4147999999,440771.8881999999,-832.1003999998793,,,0.0,0.0,0.0,,378.80920000000015,873.6979999999999,-48.4985999999999,,272958.7000000011,839347.5000000009,-10392.499999999069,,,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,2341092.582
2026-03-29T14:00:00Z,5000,2233,2341092.582,801862.0,5604529.0,0,42300854,3380596.825298913,3972.7752,1000.0,1589567.36,48489.3388,308240.3468,1520628.2768,0.0,98.6118,0.7142,0.7186,1823.1306,3.5102,0.0984,0.990989010989011,0.9997782213351075,49266563426.0968,246332817130484,14,6,1,2528462.9674,2418772.5536,2470101.6906,,,2440465.6912000002,2376297.3716333336,2435101.2813,2435101.2813,153010.5812725531,174671.26881853616,-187370.38540000003,-77679.97160000028,-129009.10859999992,,,0.0,0.0,0.0,,-464.03459999999995,-7.553599999999733,-178.5604000000003,,-279227.7000000011,211408.5,-2002.0,,,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,2350868.7516
2026-03-29T15:00:00Z,5000,2241,2350868.7516,801861.0,5607569.600000001,0,47494921,3399500.421786003,4080.6646,1000.0,1632922.16,47597.0988,271316.0598,1325753.3072,0.0,101.6046,0.721,0.724,1574.9132,3.077,0.089,0.9932402965547318,1.0,57203200653.0356,286016003265178,15,6,1,2341092.582,2374161.5526,2378594.3864,,,2414572.3673333335,2354795.853533333,2424655.8702666666,2424655.8702666666,146100.9412560524,166367.83083499104,9776.16960000014,-23292.800999999978,-27725.634800000116,,,0.0,0.0,0.0,,107.88940000000002,22.664000000000215,133.17100000000028,,3040.600000000559,-3228.399999999441,216500.50000000093,,,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,2824682.3876
