model_name,feature,coefficient_scaled,abs_coefficient_scaled,tree_importance
linear_regression,avg_gas_used,21887224.993010536,21887224.993010536,
linear_regression,avg_compute_fee,-21808983.827902474,21808983.827902474,
linear_regression,fee_change_1h,-347293.6524741063,347293.6524741063,
linear_regression,avg_forward_fee,-289119.8416758955,289119.8416758955,
linear_regression,fee_lag_1h,-271821.363478255,271821.363478255,
linear_regression,avg_total_fee,240550.46355322516,240550.46355322516,
linear_regression,avg_action_fee,228296.10671480699,228296.10671480699,
linear_regression,fee_change_3h,134266.06407356262,134266.06407356262,
linear_regression,fee_lag_3h,131746.96816079272,131746.96816079272,
linear_regression,avg_msg_size_bits,115714.46743390104,115714.46743390104,
linear_regression,p90_total_fee,-111867.9984206846,111867.9984206846,
linear_regression,failed_tx_ratio,81892.95682959864,81892.95682959864,
linear_regression,std_total_fee,-70559.49353891145,70559.49353891145,
linear_regression,avg_out_msg_count,-66665.30021489016,66665.30021489016,
linear_regression,avg_msgs_created,59818.49605500256,59818.49605500256,
linear_regression,p90_fee_change_6h,56346.84741323383,56346.84741323383,
linear_regression,avg_vm_steps,-47272.76022416656,47272.76022416656,
linear_regression,rolling_avg_fee_12h,44304.67392898165,44304.67392898165,
linear_regression,day_of_week,-43984.489923882764,43984.489923882764,
linear_regression,fee_lag_6h,36789.63110382529,36789.63110382529,
linear_regression,hour_cos,34849.67059322819,34849.67059322819,
linear_regression,action_success_ratio,30934.744285700843,30934.744285700843,
linear_regression,p90_fee_change_1h,30514.265925708693,30514.265925708693,
linear_regression,fee_change_12h,29918.841670283116,29918.841670283116,
linear_regression,gas_used_change_6h,29361.915519983508,29361.915519983508,
linear_regression,max_total_fee,28194.97343781218,28194.97343781218,
linear_regression,avg_storage_fee,25831.56818881398,25831.56818881398,
linear_regression,gas_used_change_3h,23797.860748033505,23797.860748033505,
linear_regression,day_sin,-21791.384411578532,21791.384411578532,
linear_regression,rolling_std_fee_6h,-20413.818484514486,20413.818484514486,
linear_regression,rolling_avg_fee_3h,18275.299879959784,18275.299879959784,
linear_regression,unique_accounts,16389.66380706895,16389.66380706895,
linear_regression,rolling_avg_fee_24h,15582.367975811474,15582.367975811474,
linear_regression,p90_fee_change_24h,14806.818440564908,14806.818440564908,
linear_regression,is_weekend,14218.617530803662,14218.617530803662,
linear_regression,gas_used_change_24h,-13227.355115838349,13227.355115838349,
linear_regression,gas_used_change_1h,-13151.009126379155,13151.009126379155,
linear_regression,avg_import_fee,-12463.447690086672,12463.447690086672,
linear_regression,rolling_std_fee_24h,-10156.80712284334,10156.80712284334,
linear_regression,rolling_avg_fee_6h,-9904.359268417582,9904.359268417582,
linear_regression,avg_msg_size_cells,-9770.683576492127,9770.683576492127,
linear_regression,median_total_fee,-9587.339329135604,9587.339329135604,
linear_regression,hour_of_day,-9476.233432379551,9476.233432379551,
linear_regression,median_gas_used,-9431.906160399783,9431.906160399783,
linear_regression,fee_lag_12h,9148.534057389945,9148.534057389945,
linear_regression,fee_change_6h,-8160.270952375606,8160.270952375606,
linear_regression,hour_sin,7004.358967618085,7004.358967618085,
linear_regression,day_cos,-5034.732865970582,5034.732865970582,
linear_regression,p90_fee_change_3h,-4679.649554293603,4679.649554293603,
linear_regression,total_transaction_value,3165.5726397330873,3165.5726397330873,
linear_regression,avg_transaction_value,3165.5726388911717,3165.5726388911717,
linear_regression,same_hour_prev_day_fee,-2710.7393408026546,2710.7393408026546,
linear_regression,fee_lag_24h,-2710.739340722561,2710.739340722561,
linear_regression,fee_change_24h,-1807.8115734728053,1807.8115734728053,
linear_regression,compute_success_ratio,-1346.0465503805317,1346.0465503805317,
linear_regression,min_total_fee,-7.3071569204330444e-06,7.3071569204330444e-06,
linear_regression,tx_count,-2.2617168724536896e-06,2.2617168724536896e-06,
linear_regression,tx_count_change_24h,7.441267371177673e-07,7.441267371177673e-07,
linear_regression,tx_count_change_1h,4.805624485015869e-07,4.805624485015869e-07,
linear_regression,tx_count_change_6h,-3.5855919122695923e-07,3.5855919122695923e-07,
linear_regression,tx_count_change_3h,1.3224780559539795e-07,1.3224780559539795e-07,
linear_regression_log1p_target,avg_gas_used,6.848410256614042,6.848410256614042,
linear_regression_log1p_target,avg_compute_fee,-6.813942280343835,6.813942280343835,
linear_regression_log1p_target,fee_change_1h,-0.13852704466489363,0.13852704466489363,
linear_regression_log1p_target,avg_forward_fee,-0.11277974432071114,0.11277974432071114,
linear_regression_log1p_target,fee_lag_1h,-0.11109226434442387,0.11109226434442387,
linear_regression_log1p_target,avg_action_fee,0.09226082053249995,0.09226082053249995,
linear_regression_log1p_target,avg_total_fee,0.08661960427403681,0.08661960427403681,
linear_regression_log1p_target,p90_total_fee,-0.043509334984745296,0.043509334984745296,
linear_regression_log1p_target,fee_lag_3h,0.04345917852165737,0.04345917852165737,
linear_regression_log1p_target,fee_change_3h,0.04259468395463939,0.04259468395463939,
linear_regression_log1p_target,avg_msg_size_bits,0.04210156678379773,0.04210156678379773,
linear_regression_log1p_target,failed_tx_ratio,0.030851413811809225,0.030851413811809225,
linear_regression_log1p_target,std_total_fee,-0.028123318808172315,0.028123318808172315,
linear_regression_log1p_target,fee_lag_6h,0.022386954002515114,0.022386954002515114,
linear_regression_log1p_target,p90_fee_change_6h,0.02126738189613936,0.02126738189613936,
