mae,rmse,r2,mape,model_name,model_type,target_transform,alpha,train_rows,test_rows,max_depth,n_estimators,learning_rate,min_samples_leaf
590775.0638129287,676540.936894885,0.3376883282938037,107.31423858590267,ridge_alpha_100,ridge_regression,none,100.0,731,183,,,,
644315.5692529392,740305.0196689306,0.20695900908772347,117.514679009788,ridge_alpha_10,ridge_regression,none,10.0,731,183,,,,
702427.1239359376,808550.6134212727,0.05400537369998171,130.16346648082603,ridge_alpha_100_log1p_target,ridge_regression,log1p,100.0,731,183,,,,
751439.9314884662,867075.9342982697,-0.08789883735772586,139.50161979503238,ridge_alpha_10_log1p_target,ridge_regression,log1p,10.0,731,183,,,,
755827.488884888,875260.5249794391,-0.10853377861664204,138.99865172975822,ridge_alpha_1,ridge_regression,none,1.0,731,183,,,,
844398.641791338,978547.4877897355,-0.38560059184286577,157.20205959344605,ridge_alpha_1_log1p_target,ridge_regression,log1p,1.0,731,183,,,,
1123756.1676859413,1312054.2109722055,-1.491023395391558,212.7400136385893,gradient_boosted_trees_depth_3_50_lr_0_1,gradient_boosted_regression_trees,none,0.0,731,183,3.0,50.0,0.1,20.0
1159835.5328342465,1357077.6307576776,-1.6649166568143037,219.99079267310623,gradient_boosted_stumps_200_lr_0_03,gradient_boosted_regression_trees,none,0.0,731,183,1.0,200.0,0.03,20.0
1166788.3098005718,1365130.7535639277,-1.6966386112313598,221.37528670365683,gradient_boosted_stumps_100_lr_0_05,gradient_boosted_regression_trees,none,0.0,731,183,1.0,100.0,0.05,20.0
1196295.2915455615,1399839.5947306403,-1.8355074614782194,227.23579619272738,gradient_boosted_stumps_50_lr_0_05,gradient_boosted_regression_trees,none,0.0,731,183,1.0,50.0,0.05,20.0
89691156.46847154,112940307.35296418,-18456.470292752234,17105.702223861852,linear_regression,ordinary_least_squares_linear_regression,none,0.0,731,183,,,,
3.8004671170425924e+29,3.387069847885796e+30,-1.6600552901512998e+49,6.168450951766261e+25,linear_regression_log1p_target,ordinary_least_squares_linear_regression,log1p,0.0,731,183,,,,
