model_name,model_type,target_transform,mean_r2,median_r2,std_r2,min_r2,max_r2,mean_mae,median_mae,std_mae,mean_rmse,median_rmse,std_rmse,mean_mape,median_mape,folds,r2_win_count
ridge_alpha_100,ridge_regression,none,-3.0656753992855776,-0.32811573095443436,5.485394598711018,-15.883890455845378,-0.07653049915197463,261801.39863288985,215129.3579244208,248262.14420996833,312181.3968163931,273704.01714335906,256398.3826843308,33.830862797836154,10.257138249870557,8,1
ridge_alpha_100_log1p_target,ridge_regression,log1p,-3.403786961877493,-0.3286513210692239,7.908887428325047,-22.897840924184184,-0.03682575618845285,278181.9997305296,211436.89843122108,315915.9708311496,326469.58545285615,272124.2541344139,319501.5611399514,38.04499199005314,10.210027865913887,8,1
ridge_alpha_10_log1p_target,ridge_regression,log1p,-3.783488364177888,-0.4043000449285826,8.239487771210712,-24.00744604818625,-0.08040618313130654,287234.456253773,217883.11134832696,321313.5356627669,337916.2216284557,279402.6946005457,324985.59836522315,38.96619985034114,10.779631693245326,8,0
ridge_alpha_10,ridge_regression,none,-3.850095434022177,-0.4111298170382397,6.057056345248106,-16.381233427953838,-0.13748632185903076,269932.67465012596,220507.07000988405,247826.664669278,325596.5960595668,281821.2091282649,255367.3681820628,34.412829676391475,10.895668218567145,8,0
ridge_alpha_1_log1p_target,ridge_regression,log1p,-4.481488983033957,-0.48068457446560486,9.574208541248863,-27.953599138227446,-0.11564764406797123,302906.252990084,219447.90613360348,348914.02807814995,354500.81047075527,283113.74763212196,350888.01034254476,41.832338792449505,11.242893291377946,8,0
ridge_alpha_1,ridge_regression,none,-5.071529556516131,-0.46981510143104377,7.714683614441404,-20.609345490968323,-0.18631892925318638,290411.85799595487,223465.35297647087,279993.2523989295,348352.31760696037,286372.28728910454,285590.9969386241,38.38640748299173,11.411118437880845,8,0
gradient_boosted_trees_depth_3_50_lr_0_1,gradient_boosted_regression_trees,none,-14.190380529503104,-0.3101847249624854,25.63497678314659,-59.100564125606105,0.11229428883554371,386356.1517566247,216264.94103521336,497095.3531052082,430915.4120758828,294357.2556364478,487290.1140804892,62.39129009109827,10.35628500593079,8,2
gradient_boosted_stumps_200_lr_0_03,gradient_boosted_regression_trees,none,-56.61041787958625,-0.17689869072520692,113.58507432749026,-329.0769047781492,0.013645465822228364,502382.3665947827,229933.82543266122,546273.7292469629,539683.4613467325,296110.19019344647,530191.8231589926,87.71576018196203,10.066420421731749,8,1
gradient_boosted_stumps_100_lr_0_05,gradient_boosted_regression_trees,none,-60.67522870569237,-0.16034644831677158,120.88597667044537,-349.91322507267193,0.018248249330275024,511393.68763826403,230061.12222479848,553829.3101621154,547995.1548281692,295132.1333773575,537690.2091910698,89.6471358562611,10.076608475298471,8,1
gradient_boosted_stumps_50_lr_0_05,gradient_boosted_regression_trees,none,-85.6942067720853,-0.12009635063962076,159.59036391638844,-450.9450099194293,0.014579442054696745,557876.5082435518,232634.5197120062,581355.210275917,591971.6722751277,294544.545784718,564324.6175122177,99.31154199858663,10.207177659248789,8,2
linear_regression,ordinary_least_squares_linear_regression,none,-7328.5091361182895,-0.5258967653763468,20719.621586769517,-58606.95512712244,-0.22337295975353388,6668873.3716478245,223975.34733629622,18303204.50964125,6901377.310096757,289856.2053980231,18793772.733788643,1449.2611474874382,11.552429934255004,8,0
linear_regression_log1p_target,ordinary_least_squares_linear_regression,log1p,-2092189428.28509,-0.530481644786642,5917605325.664033,-16737515417.854418,-0.14150086431535436,2195146431.780553,219810.56069211313,6208289921.744247,3568213070.2767286,285822.3615493221,10091753691.570267,502716.55782790825,11.324024354277242,8,0
